Marker	chr	pos	uniqpos	chrom	Genome
A17726_1A_100	1A.1	139.071	139.071	1A	A
A17345_1A_70	1A.1	139.725	139.725	1A	A
A6786_1A_100	1A.1	141.056	141.056	1A	A
A26361_1A_2A_70	1A.1	142.804	142.804	1A	A
A26690_1A_2A_100	1A.1	143.063	143.063	1A	A
A18373_1A_70	1A.1	145.094	145.094	1A	A
A25287_1A_1B_100	1A.1	146.425	146.425	1A	A
A12818_1A_70	1A.1	148.457	148.457	1A	A
A11621_1A_100	1A.1	152.74	152.74	1A	A
A4697_1A_70	1A.1	155.06	155.06	1A	A
A4554_1A_100	1A.1	155.848	155.848	1A	A
A13263_1A_70	1A.1	158.31	158.31	1A	A
A13618_1A_100	1A.1	159.098	159.098	1A	A
A4521_1A_70	1A.1	161.271	161.271	1A	A
A1840_1A_100	1A.1	165.553	165.553	1A	A
A1913_1A_70	1A.1	175.276	175.276	1A	A
A13338_1A_100	1A.1	195.304	195.304	1A	A
A12983_1A_70	1A.1	196.913	196.913	1A	A
A11226_1A_70	1A.1	203.191	203.191	1A	A
A18924_1A_70	1A.1	212.444	212.444	1A	A
A19253_1A_100	1A.1	214.625	214.625	1A	A
A17790_1A_70	1A.1	217.537	217.537	1A	A
A10284_1A_70	1A.1	221.511	221.511	1A	A
A21018_1A_4A_70	1A.1	226.435	226.435	1A	A
A21316_1A_100	1A.1	231.687	231.687	1A	A
A21318_1A_1D_100	1A.1	238.485	238.485	1A	A
A19594_1A_100	1A.1	243.253	243.253	1A	A
A12547_1A_100	1A.1	246.764	246.764	1A	A
A12191_1A_70	1A.1	249.832	249.832	1A	A
A25261_unk_70	1A.1	253.337	253.337	1A	A
A25707_unk_100	1A.1	256.395	256.395	1A	A
A5631_unk_100	1A.1	262.84	262.84	1A	A
A15301_1A_70	1A.1	270.19	270.19	1A	A
A15751_1A_100	1A.1	271.385	271.385	1A	A
A13377_1A_100	1A.1	274.435	274.435	1A	A
A13017_1A_70	1A.1	276.185	276.185	1A	A
A16972_1A_70	1A.1	280.313	280.313	1A	A
A17332_1A_100	1A.1	281.101	281.101	1A	A
A12187_1A_70	1A.1	287.027	287.027	1A	A
A27835_1A_70	1A.1	290.684	290.684	1A	A
A28127_1A_100	1A.1	292.016	292.016	1A	A
A28128_unk_100	1A.1	293.623	293.623	1A	A
A29087_unk_100	1A.1	294.681	294.681	1A	A
A17107_1A_100	1A.1	296.012	296.012	1A	A
A28865_1A_70	1A.1	299.365	299.365	1A	A
A28231_1A_100	1A.1	304.619	304.619	1A	A
A7709_1A_70	1A.1	308.751	308.751	1A	A
A8086_1A_100	1A.1	309.675	309.675	1A	A
A25247_1A_100	1A.1	311.991	311.991	1A	A
A27338_1A_100	1A.1	314.021	314.021	1A	A
A25248_unk_100	1A.1	315.49	315.49	1A	A
A888_unk_100	1A.1	317.239	317.239	1A	A
A21786_1A_70	1A.1	319.129	319.129	1A	A
A21457_1A_70	1A.1	320.599	320.599	1A	A
A24160_unk_100	1A.1	321.523	321.523	1A	A
A4611_1A_70	1A.1	322.853	322.853	1A	A
A6301_1A_100	1A.1	323.911	323.911	1A	A
A21714_1A_100	1A.1	324.17	324.17	1A	A
A13458_1A_100	1A.1	324.56	324.56	1A	A
A8748_1A_100	1A.1	325.348	325.348	1A	A
A1880_unk_100	1A.1	326.137	326.137	1A	A
A4098_1A_70	1A.1	326.925	326.925	1A	A
A17352_1A_100	1A.1	327.315	327.315	1A	A
A14566_1A_100	1A.1	327.837	327.837	1A	A
A1952_unk_70	1A.1	328.359	328.359	1A	A
A5947_1A_70	1A.1	328.749	328.749	1A	A
A11394_1A_70	1A.1	329.943	329.943	1A	A
A11766_1A_100	1A.1	330.202	330.202	1A	A
A25040_1A_100	1A.1	331.259	331.259	1A	A
A5480_1A_100	1A.1	331.65	331.65	1A	A
A16805_1A_5A_100	1A.1	332.172	332.172	1A	A
A20668_unk_70	1A.1	332.431	332.431	1A	A
A5445_1A_100	1A.1	333.085	333.085	1A	A
A5406_1A_3A_70	1A.1	333.874	333.874	1A	A
A14174_1A_70	1A.1	334.528	334.528	1A	A
A16997_1A_4A_70	1A.1	335.183	335.183	1A	A
A25483_1A_100	1A.1	336.792	336.792	1A	A
A22495_1A_100	1A.1	338.26	338.26	1A	A
A22329_1A_70	1A.1	338.782	338.782	1A	A
A10360_1A_100	1A.1	341.245	341.245	1A	A
A2189_1A_100	1A.1	344.445	344.445	1A	A
A14897_1A_70	1A.1	347.952	347.952	1A	A
A15327_1A_100	1A.1	348.211	348.211	1A	A
A7470_1A_100	1A.1	349.68	349.68	1A	A
A15987_1A_100	1A.1	351.148	351.148	1A	A
A15326_1A_3A_70	1A.1	351.803	351.803	1A	A
A15775_1A_3A_100	1A.1	352.062	352.062	1A	A
A1523_1A_70	1A.1	354.092	354.092	1A	A
A9998_1A_70	1A.1	356.127	356.127	1A	A
A7615_1A_70	1A.1	357.32	357.32	1A	A
A7987_1A_100	1A.1	357.842	357.842	1A	A
A13994_1A_100	1A.1	359.177	359.177	1A	A
A27060_1A_100	1A.1	360.788	360.788	1A	A
A27505_1A_1D_100	1A.1	363.113	363.113	1A	A
A27703_1A_100	1A.1	364.584	364.584	1A	A
A10419_1A_100	1A.1	365.642	365.642	1A	A
A25405_1A_100	1A.1	366.296	366.296	1A	A
A9136_1A_100	1A.1	366.951	366.951	1A	A
A4798_1A_100	1A.1	367.873	367.873	1A	A
A6411_1A_100	1A.1	368.931	368.931	1A	A
A5479_unk_100	1A.1	369.853	369.853	1A	A
A25561_3B_70	1A.1	371.461	371.461	1A	A
A10402_1A_4A_100	1A.1	372.931	372.931	1A	A
A7801_1A_70	1A.1	373.853	373.853	1A	A
A26189_1A_100	1A.1	374.508	374.508	1A	A
A3187_1A_100	1A.1	375.43	375.43	1A	A
A13647_1A_70	1A.1	376.085	376.085	1A	A
A14045_1A_100	1A.1	376.344	376.344	1A	A
A13531_1A_100	1A.1	377.402	377.402	1A	A
A13179_1A_70	1A.1	377.924	377.924	1A	A
A25778_1A_70	1A.1	378.848	378.848	1A	A
A26780_1A_70	1A.1	380.737	380.737	1A	A
A27116_1A_100	1A.1	380.997	380.997	1A	A
A24962_1A_70	1A.1	382.19	382.19	1A	A
A9098_1A_100	1A.1	382.712	382.712	1A	A
A8639_1A_70	1A.1	382.841	382.841	1A	A
A10267_1A_100	1A.1	383.629	383.629	1A	A
A9269_1A_100	1A.1	384.284	384.284	1A	A
A9810_1A_70	1A.1	384.939	384.939	1A	A
A4738_1A_70	1A.1	386.269	386.269	1A	A
A10342_1A_100	1A.1	387.738	387.738	1A	A
A290_unk_100	1A.1	389.346	389.346	1A	A
A309_unk_70	1A.1	389.605	389.605	1A	A
A24396_unk_70	1A.1	390.127	390.127	1A	A
A25476_1A_70	1A.1	390.517	390.517	1A	A
A6210_1A_70	1A.1	391.711	391.711	1A	A
A6567_1A_100	1A.1	392.233	392.233	1A	A
A8681_1A_70	1A.1	393.155	393.155	1A	A
A21042_1A_100	1A.1	393.545	393.545	1A	A
A17091_1A_70	1A.1	394.067	394.067	1A	A
A12679_1A_70	1A.1	395.261	395.261	1A	A
A15815_1A_70	1A.1	396.455	396.455	1A	A
A6992_1A_100	1A.1	398.345	398.345	1A	A
A4541_1A_100	1A.1	399.952	399.952	1A	A
A13956_1A_6D_70	1A.1	401.146	401.146	1A	A
A14370_1A_100	1A.1	401.407	401.407	1A	A
A7712_unk_100	1A.1	403.295	403.295	1A	A
A5689_1A_7A_100	1A.1	408.724	408.724	1A	A
A3956_unk_100	1A.1	414.156	414.156	1A	A
A4058_unk_70	1A.1	414.944	414.944	1A	A
A27897_unk_100	1A.1	418.602	418.602	1A	A
A5139_1A_100	1A.1	422.107	422.107	1A	A
A2985_1A_70	1A.1	427.195	427.195	1A	A
A24428_1A_100	1A.1	435.097	435.097	1A	A
A19386_1A_100	1A.1	448.169	448.169	1A	A
A19071_1A_70	1A.1	452.309	452.309	1A	A
A17900_1A_70	1A.1	456.599	456.599	1A	A
A13217_1A_6A_70	1A.1	461.69	461.69	1A	A
A13568_1A_100	1A.1	467.971	467.971	1A	A
A4250_1A_100	1A.1	471.476	471.476	1A	A
A625_unk_100	1A.1	491.996	491.996	1A	A
A622_1A_100	1A.1	499.747	499.747	1A	A
A666_1A_70	1A.1	506.592	506.592	1A	A
A2176_1A_70	1A.1	533.744	533.744	1A	A
A561_1B_70	1B.1	0	583.744	1B	B
A519_1B_100	1B.1	5.6	589.344	1B	B
A9097_unk_100	1B.1	13.681	597.425	1B	B
A8638_unk_70	1B.1	17.655	601.399	1B	B
A11352_1B_70	1B.1	26.7	610.444	1B	B
A17726_1B_70	1B.1	32.122	615.866	1B	B
A18101_1B_100	1B.1	36.253	619.997	1B	B
A19877_1B_100	1B.1	42.529	626.273	1B	B
A19565_1B_70	1B.1	44.138	627.882	1B	B
A12376_1B_70	1B.1	50.076	633.82	1B	B
A12741_unk_100	1B.1	52.537	636.281	1B	B
A25198_1B_100	1B.1	55.439	639.183	1B	B
A1681_unk_100	1B.1	59.405	643.149	1B	B
A1759_unk_70	1B.1	61.584	645.328	1B	B
A1270_1B_70	1B.1	67.195	650.939	1B	B
A1171_1B_100	1B.1	68.253	651.997	1B	B
A11029_1B_4B_70	1B.1	72.535	656.279	1B	B
A26896_1B_7B_100	1B.1	78.633	662.377	1B	B
A15523_1B_70	1B.1	84.052	667.796	1B	B
A15894_1B_100	1B.1	88.982	672.726	1B	B
A4317_unk_100	1B.1	91.012	674.756	1B	B
A7290_1B_100	1B.1	95.296	679.04	1B	B
A25377_1B_100	1B.1	99.736	683.48	1B	B
A24936_1B_70	1B.1	101.204	684.948	1B	B
A17886_1B_70	1B.1	106.457	690.201	1B	B
A18228_1B_100	1B.1	106.979	690.723	1B	B
A14421_1B_70	1B.1	108.586	692.33	1B	B
A14860_1B_100	1B.1	108.716	692.46	1B	B
A28011_1B_70	1B.1	109.909	693.653	1B	B
A27367_1B_70	1B.1	111.24	694.984	1B	B
A594_1B_100	1B.1	112.298	696.042	1B	B
A643_1B_70	1B.1	113.22	696.964	1B	B
A2955_1B_100	1B.1	115.393	699.137	1B	B
A10236_1B_100	1B.1	117.001	700.745	1B	B
A9132_unk_70	1B.1	119.323	703.067	1B	B
A1171_unk_70	1B.1	121.498	705.242	1B	B
A1083_unk_100	1B.1	121.889	705.633	1B	B
A9230_1B_70	1B.1	123.496	707.24	1B	B
A1312_1B_70	1B.1	125.104	708.848	1B	B
A1213_1B_100	1B.1	125.626	709.37	1B	B
A24029_1B_100	1B.1	128.087	711.831	1B	B
A23665_1B_70	1B.1	128.875	712.619	1B	B
A804_1B_1D_70	1B.1	130.763	714.507	1B	B
A746_1B_100	1B.1	131.824	715.568	1B	B
A29224_1B_100	1B.1	132.746	716.49	1B	B
A28998_1B_70	1B.1	133.668	717.412	1B	B
A19182_1B_70	1B.1	134.591	718.335	1B	B
A13828_1B_70	1B.1	135.785	719.529	1B	B
A14230_1B_100	1B.1	136.307	720.051	1B	B
A6950_1B_100	1B.1	137.364	721.108	1B	B
A789_1B_100	1B.1	137.754	721.498	1B	B
A12644_1B_3B_70	1B.1	139.643	723.387	1B	B
A10609_1B_70	1B.1	141.25	724.994	1B	B
A24308_1B_100	1B.1	142.445	726.189	1B	B
A27079_1B_100	1B.1	143.914	727.658	1B	B
A28125_1B_100	1B.1	144.972	728.716	1B	B
A27833_1B_70	1B.1	145.231	728.975	1B	B
A24219_1B_100	1B.1	146.979	730.723	1B	B
A23853_1B_70	1B.1	147.5	731.244	1B	B
A28265_1B_100	1B.1	149.673	733.417	1B	B
A25497_1B_70	1B.1	151.85	735.594	1B	B
A25929_1B_100	1B.1	152.11	735.854	1B	B
A7852_1B_100	1B.1	153.998	737.742	1B	B
A2686_1B_100	1B.1	154.92	738.664	1B	B
A9695_1B_100	1B.1	155.978	739.722	1B	B
A28445_1B_100	1B.1	157.309	741.053	1B	B
A28166_1B_70	1B.1	158.231	741.975	1B	B
A26035_1B_70	1B.1	160.405	744.149	1B	B
A26422_1B_100	1B.1	161.464	745.208	1B	B
A9236_1B_70	1B.1	163.073	746.817	1B	B
A2542_1B_100	1B.1	168.334	752.078	1B	B
A27058_1B_70	1B.1	174.09	757.834	1B	B
A28425_1B_100	1B.1	176.991	760.735	1B	B
A26365_1B_100	1B.1	179.454	763.198	1B	B
A11003_1B_100	1B.1	180.511	764.255	1B	B
A19804_1B_100	1B.1	181.035	764.779	1B	B
A24515_1B_100	1B.1	182.508	766.252	1B	B
A627_1B_100	1B.1	184.542	768.286	1B	B
A670_1B_70	1B.1	185.74	769.484	1B	B
A27934_1B_100	1B.1	190.693	774.437	1B	B
A21694_1B_100	1B.1	192.583	776.327	1B	B
A21437_1B_70	1B.1	193.371	777.115	1B	B
A3432_1B_6A_70	1B.1	195.259	779.003	1B	B
A16746_1B_70	1B.1	197.289	781.033	1B	B
A17105_1B_100	1B.1	198.211	781.955	1B	B
A17306_1B_100	1B.1	201.266	785.01	1B	B
A19389_1B_100	1B.1	204.02	787.764	1B	B
A19074_1B_70	1B.1	205.912	789.656	1B	B
A9745_1B_70	1B.1	208.381	792.125	1B	B
A10201_1B_100	1B.1	209.718	793.462	1B	B
A10668_1B_70	1B.1	212.036	795.78	1B	B
A11054_1B_100	1B.1	212.959	796.703	1B	B
A9727_1B_100	1B.1	215.42	799.164	1B	B
A9260_1B_70	1B.1	216.614	800.358	1B	B
A27233_1B_70	1B.1	219.221	802.965	1B	B
A27537_1B_100	1B.1	220.553	804.297	1B	B
A1515_unk_100	1B.1	222.441	806.185	1B	B
A3342_1B_100	1B.1	223.499	807.243	1B	B
A20899_1B_100	1B.1	224.694	808.438	1B	B
A8508_1B_70	1B.1	230.47	814.214	1B	B
A8986_1B_100	1B.1	231.665	815.409	1B	B
A9273_unk_100	1B.1	235.019	818.763	1B	B
A8813_unk_70	1B.1	236.488	820.232	1B	B
A6152_1B_70	1B.1	240.769	824.513	1B	B
A24115_1B_100	1B.1	244.272	828.016	1B	B
A12332_1B_100	1B.1	248.872	832.616	1B	B
A11972_1B_70	1B.1	249.66	833.404	1B	B
A25492_1B_70	1B.1	252.413	836.157	1B	B
A25924_1B_100	1B.1	253.608	837.352	1B	B
A13199_1B_100	1B.1	255.218	838.962	1B	B
A16913_1B_70	1B.1	256.829	840.573	1B	B
A8259_1B_70	1B.1	260.507	844.251	1B	B
A12199_1B_100	1B.1	263.724	847.468	1B	B
A3878_1B_100	1B.1	265.477	849.221	1B	B
A3981_1B_70	1B.1	266.404	850.148	1B	B
A7478_1B_70	1B.1	269.16	852.904	1B	B
A7840_1B_100	1B.1	271.19	854.934	1B	B
A24213_1B_100	1B.1	280.95	864.694	1B	B
A1170_1B_100	1B.1	281.34	865.084	1B	B
A20207_1B_100	1B.1	285.485	869.229	1B	B
A27513_1B_7B_100	1B.1	289.934	873.678	1B	B
A7222_1B_100	1B.1	294.534	878.278	1B	B
A11680_1B_100	1B.1	300.121	883.865	1B	B
A11306_1B_70	1B.1	302.296	886.04	1B	B
A18807_unk_70	1B.1	305.356	889.1	1B	B
A1268_1B_70	1B.1	307.53	891.274	1B	B
A19908_1B_70	1B.1	309.708	893.452	1B	B
A27205_1B_7B_70	1B.1	313.38	897.124	1B	B
A661_1B_100	1B.1	318.638	902.382	1B	B
A10253_1B_70	1B.1	321.688	905.432	1B	B
A28647_3A_70	1B.1	324.888	908.632	1B	B
A1315_unk_100	1B.1	334.369	918.113	1B	B
A252_1B_100	1B.3	0	943.113	1B	B
A275_1B_70	1B.3	7.222	950.335	1B	B
A29335_1B_100	1B.3	32.591	975.704	1B	B
A29107_1B_70	1B.3	44.092	987.205	1B	B
A11633_1B_70	1B.3	63.238	1006.351	1B	B
A12011_unk_100	1B.3	71.044	1014.157	1B	B
A24758_1B_100	1B.3	77.499	1020.612	1B	B
A21453_1B_100	1B.3	83.098	1026.211	1B	B
A21192_1B_70	1B.3	87.723	1030.836	1B	B
A27732_1D_70	1D.1	0	1080.836	1D	D
A28022_1D_100	1D.1	9.543	1090.379	1D	D
A15650_1D_1H_100	1D.1	23.934	1104.77	1D	D
A6936_1D_100	1D.1	35.775	1116.611	1D	D
A6578_1D_70	1D.1	42.637	1123.473	1D	D
A15067_1D_70	1D.1	58.734	1139.57	1D	D
A15506_1D_100	1D.1	73.415	1154.251	1D	D
A20348_1A_1D_100	1D.2	0	1179.251	1D	D
A4496_1D_100	1D.2	8.872	1188.123	1D	D
A4631_1D_70	1D.2	13.817	1193.068	1D	D
A19739_1D_100	1D.2	26.781	1206.032	1D	D
A19429_1D_70	1D.2	30.151	1209.402	1D	D
A7786_unk_100	1D.2	36.628	1215.879	1D	D
A27037_1D_100	1D.2	49.803	1229.054	1D	D
A26698_1D_70	1D.2	51.835	1231.086	1D	D
A11342_1D_70	1D.2	56.115	1235.366	1D	D
A849_unk_70	1D.2	59.166	1238.417	1D	D
A15373_1D_3D_70	1D.2	61.054	1240.305	1D	D
A294_1D_70	1D.2	63.525	1242.776	1D	D
A277_1D_100	1D.2	64.994	1244.245	1D	D
A13316_3D_100	1D.2	67.024	1246.275	1D	D
A1570_1D_100	1D.2	69.492	1248.743	1D	D
A9957_1D_100	1D.2	72.544	1251.795	1D	D
A25403_1D_100	1D.2	75.749	1255	1D	D
A24960_1D_70	1D.2	78.801	1258.052	1D	D
A14571_7B_70	1D.2	81.702	1260.953	1D	D
A14568_1D_70	1D.2	83.592	1262.843	1D	D
A12763_1D_70	1D.2	85.482	1264.733	1D	D
A28644_unk_70	1D.2	87.513	1266.764	1D	D
A17545_1D_70	1D.2	90.714	1269.965	1D	D
A17929_1D_100	1D.2	92.605	1271.856	1D	D
A790_unk_100	1D.2	95.36	1274.611	1D	D
A15011_1D_100	1D.2	97.676	1276.927	1D	D
A13108_1D_100	1D.2	99.008	1278.259	1D	D
A19665_1D_100	1D.2	100.756	1280.007	1D	D
A15705_1D_70	1D.2	105.356	1284.607	1D	D
A21339_unk_70	1D.2	108.716	1287.967	1D	D
A2486_1D_70	1D.2	116.08	1295.331	1D	D
A16156_1D_1H_100	1D.2	122.715	1301.966	1D	D
A26324_1D_70	1D.2	129.885	1309.136	1D	D
A3622_1D_100	1D.2	138.347	1317.598	1D	D
A7270_1D_100	1D.2	144.795	1324.046	1D	D
A6903_1D_70	1D.2	146.406	1325.657	1D	D
A11441_unk_100	1D.2	154.122	1333.373	1D	D
A11066_unk_70	1D.2	157.174	1336.425	1D	D
A745_1D_100	1D.2	169.629	1348.88	1D	D
A3568_1D_100	1D.2	171.379	1350.63	1D	D
A3661_1D_70	1D.2	172.171	1351.422	1D	D
A3732_1D_100	1D.2	174.644	1353.895	1D	D
A3836_1D_70	1D.2	175.706	1354.957	1D	D
A13334_1D_70	1D.2	179.987	1359.238	1D	D
A13693_1D_100	1D.2	181.044	1360.295	1D	D
A28452_1D_100	1D.2	183.655	1362.906	1D	D
A16305_1D_100	1D.2	185.548	1364.799	1D	D
A18240_1D_100	1D.2	188.011	1367.262	1D	D
A28174_1D_70	1D.2	192.625	1371.876	1D	D
A17763_unk_70	2A.1	0	1421.876	2A	A
A18129_unk_100	2A.1	3.366	1425.242	2A	A
A1269_2A_100	2A.1	10.181	1432.057	2A	A
A1369_2A_70	2A.1	13.235	1435.111	2A	A
A1824_2A_70	2A.1	18.01	1439.886	2A	A
A1742_2A_100	2A.1	20.774	1442.65	2A	A
A12995_2A_100	2A.1	26.544	1448.42	2A	A
A1585_unk_100	2A.1	29.452	1451.328	2A	A
A21423_unk_100	2A.1	32.505	1454.381	2A	A
A1679_unk_70	2A.1	36.018	1457.894	2A	A
A21152_unk_70	2A.1	37.35	1459.226	2A	A
A17486_2A_70	2A.1	39.099	1460.975	2A	A
A12656_2A_70	2A.1	41.563	1463.439	2A	A
A20808_2A_70	2A.1	45.537	1467.413	2A	A
A17812_2A_70	2A.2	0	1492.413	2A	A
A24240_2A_100	2A.2	14.845	1507.258	2A	A
A17237_2A_100	2A.2	18.511	1510.924	2A	A
A14306_2A_100	2A.2	21.715	1514.128	2A	A
A8650_2A_100	2A.2	24.182	1516.595	2A	A
A951_2A_100	2A.2	25.933	1518.346	2A	A
A27878_2A_100	2A.2	27.687	1520.1	2A	A
A29249_2A_100	2A.2	32.648	1525.061	2A	A
A29025_2A_70	2A.2	37.483	1529.896	2A	A
A8192_2A_70	2A.2	42.945	1535.358	2A	A
A13893_2A_70	2A.2	45.561	1537.974	2A	A
A1027_2A_70	2A.2	47.308	1539.721	2A	A
A23868_2A_70	2A.2	49.059	1541.472	2A	A
A27578_2A_70	2A.2	50.951	1543.364	2A	A
A3077_2A_70	2A.2	66.568	1558.981	2A	A
A3050_2A_100	2A.2	71.667	1564.08	2A	A
A15271_2A_100	2A.2	91.013	1583.426	2A	A
A14843_2A_70	2A.2	103.65	1596.063	2A	A
A26987_2A_70	2A.2	129.2	1621.613	2A	A
A27315_2A_100	2A.2	130.395	1622.808	2A	A
A23228_2A_70	2A.2	133.898	1626.311	2A	A
A23618_2A_100	2A.2	134.686	1627.099	2A	A
A18739_2A_100	2A.2	138.972	1631.385	2A	A
A18390_2A_70	2A.2	140.167	1632.58	2A	A
A8284_2A_70	2A.2	141.776	1634.189	2A	A
A9278_2A_3B_100	2A.2	143.107	1635.52	2A	A
A27080_2A_100	2A.2	143.761	1636.174	2A	A
A26740_2A_70	2A.2	144.283	1636.696	2A	A
A8937_2A_70	2A.2	145.478	1637.891	2A	A
A21069_2A_70	2A.2	148.087	1640.5	2A	A
A961_2A_70	2A.2	150.995	1643.408	2A	A
A894_2A_100	2A.2	152.329	1644.742	2A	A
A1980_2A_100	2A.2	155.083	1647.496	2A	A
A2209_2A_100	2A.2	156.553	1648.966	2A	A
A14471_2A_100	2A.2	157.475	1649.888	2A	A
A6675_2A_100	2A.2	158.533	1650.946	2A	A
A6314_2A_7D_70	2A.2	160.422	1652.835	2A	A
A16566_7A_70	2A.2	163.182	1655.595	2A	A
A11087_2A_100	2A.2	166.839	1659.252	2A	A
A11231_2A_70	2A.2	168.727	1661.14	2A	A
A20081_2A_100	2A.2	171.777	1664.19	2A	A
A23638_unk_100	2A.2	173.665	1666.078	2A	A
A22459_unk_100	2A.2	180.309	1672.722	2A	A
A7632_2A_70	2A.2	188.605	1681.018	2A	A
A6653_2A_70	2A.2	197.066	1689.479	2A	A
A17475_2A_70	2A.2	209.735	1702.148	2A	A
A2328_2A_100	2A.2	214.335	1706.748	2A	A
A2418_2A_70	2A.2	215.124	1707.537	2A	A
A9658_2A_70	2A.2	218.938	1711.351	2A	A
A9825_2A_70	2A.2	221.692	1714.105	2A	A
A10279_2A_100	2A.2	222.614	1715.027	2A	A
A29306_2A_2B_70	2A.2	225.076	1717.489	2A	A
A29513_2A_100	2A.2	225.598	1718.011	2A	A
A10120_2A_100	2A.2	227.205	1719.618	2A	A
A13267_2A_70	2A.2	229.963	1722.376	2A	A
A13624_2A_100	2A.2	231.024	1723.437	2A	A
A23645_2A_100	2A.2	232.771	1725.184	2A	A
A9433_2A_100	2A.2	233.966	1726.379	2A	A
A15915_2A_70	2A.2	235.855	1728.268	2A	A
A16266_2A_100	2A.2	236.509	1728.922	2A	A
A1774_2A_70	2A.2	238.541	1730.954	2A	A
A1690_2A_100	2A.2	239.195	1731.608	2A	A
A16125_2A_100	2A.2	240.665	1733.078	2A	A
A9383_2A_100	2A.2	242.986	1735.399	2A	A
A20848_2A_100	2A.2	245.016	1737.429	2A	A
A20553_2A_70	2A.2	245.538	1737.951	2A	A
A5328_2A_70	2A.2	247.568	1739.981	2A	A
